Timestamp,What is your major?,What is your GPA?,How often do you exercise on average?,How often do you shower on average?,How often do you brush your teeth on average?,How long do you spend on skincare on average?,"On a scale of 1-6, how much energy do you have on average?",How many hours of sleep do you get on average?
2023/10/28 12:14:08 PM EST,Management Information Systems,3.5-4.0,3-5 times a week,Once a day,More than once a day,10-20 minutes,4,8+
2023/10/28 12:14:11 PM EST,Computer Science,3.0-3.5,3-5 times a week,Once every 5-7 days,More than once a day,10-20 minutes,3,7-Jun
2023/10/28 12:14:14 PM EST,"Arts, Technology and Emerging Communications",3.0-3.5,Once a month,Once every 5-7 days,Once a day,0-10 minutes,3,6-May
2023/10/28 12:17:04 PM EST,Computer Engineering,3.5-4.0,3-5 times a week,More than once a day,Once a day,0 hours,4,5-Apr
2023/10/28 12:17:15 PM EST,Environmental science,3.0-3.5,1-2 times a week,Once every 2 days,Once a day,0-10 minutes,4,8-Jul
2023/10/28 12:17:51 PM EST,Public health,3.0-3.5,Once a month,Once a day,Once a day,0-10 minutes,3,6-May
2023/10/28 12:19:00 PM EST,ME,2.5-3.0,1-2 times a week,Once a day,More than once a day,0-10 minutes,4,7-Jun
2023/10/28 12:20:17 PM EST,Computer Science,2.5-3.0,A few times a month,Once a day,Once a day,0 hours,5,8-Jul
2023/10/28 12:20:47 PM EST,Computer Science,3.5-4.0,3-5 times a week,Once every 2 days,More than once a day,10-20 minutes,4,8+
2023/10/28 12:25:08 PM EST,Computer Science,3.0-3.5,A few times a month,Once every 2 days,Once a day,0 hours,5,8-Jul
2023/10/28 12:26:07 PM EST,Management Information Systems,3.5-4.0,6-7 days a week,Once a day,More than once a day,10-20 minutes,6,8+
2023/10/28 12:29:46 PM EST,Computer Science,3.5-4.0,1-2 times a week,Once a day,More than once a day,0 hours,4,8-Jul
2023/10/28 12:30:31 PM EST,Biomedical engineer/Biotech,3.5-4.0,Once a month,Once every 2 days,More than once a day,30-60 minutes,1,6-May
2023/10/28 12:31:24 PM EST,Computer Science,3.5-4.0,3-5 times a week,Once a day,More than once a day,0-10 minutes,4,8-Jul
2023/10/28 12:32:02 PM EST,Computer Science,3.0-3.5,1-2 times a week,Once every 2 days,More than once a day,0 hours,3,7-Jun
2023/10/28 12:32:28 PM EST,Computer Engineering,3.5-4.0,Not at all,Once every 2 days,More than once a day,0 hours,4,7-Jun
2023/10/28 12:33:33 PM EST,Electrical Engineering,3.0-3.5,6-7 days a week,More than once a day,More than once a day,0 hours,2,6-May
2023/10/28 12:34:58 PM EST,Computer Science,3.0-3.5,3-5 times a week,Once a day,More than once a day,20-30 minutes,4,7-Jun
2023/10/28 12:37:26 PM EST,Computer Science,3.5-4.0,3-5 times a week,Once a day,Once a day,0-10 minutes,2,7-Jun
2023/10/28 12:37:30 PM EST,Computer Science,3.0-3.5,3-5 times a week,Once a day,Once a day,10-20 minutes,3,7-Jun
2023/10/28 12:37:52 PM EST,Computer Science,3.5-4.0,A few times a month,Once a day,Once a day,10-20 minutes,3,8-Jul
2023/10/28 12:38:43 PM EST,Computer Science,3.5-4.0,Not at all,Once a day,More than once a day,0-10 minutes,4,8-Jul
2023/10/28 12:38:47 PM EST,Computer Engineering,4,Not at all,Once a day,Once a day,0 hours,2,8+
2023/10/28 12:39:11 PM EST,Computer Science,3.5-4.0,Not at all,Once a day,More than once a day,10-20 minutes,4,8-Jul
2023/10/28 12:40:56 PM EST,Computer Engineering,3.0-3.5,6-7 days a week,Once a day,More than once a day,20-30 minutes,5,8-Jul
2023/10/28 12:41:47 PM EST,Biomedical engineer/Biotech,3.5-4.0,3-5 times a week,Once a day,More than once a day,20-30 minutes,3,7-Jun
2023/10/28 12:43:27 PM EST,Computer Science,3.0-3.5,Once a month,Once every 3-4 days,More than once a day,0-10 minutes,3,7-Jun
2023/10/28 12:44:32 PM EST,Computer Science,3.0-3.5,1-2 times a week,Once a day,Once a day,0-10 minutes,4,8-Jul
2023/10/28 12:44:46 PM EST,Computer Science,3.5-4.0,3-5 times a week,More than once a day,More than once a day,0-10 minutes,5,8-Jul
2023/10/28 12:47:19 PM EST,Education,3.0-3.5,1-2 times a week,Once a day,More than once a day,0-10 minutes,1,6-May
2023/10/28 12:47:26 PM EST,Computer Science,3.5-4.0,1-2 times a week,Once a day,Once a day,20-30 minutes,3,8-Jul
2023/10/28 12:51:21 PM EST,Computer Engineering,2.5-3.0,Once a month,Once every 3-4 days,More than once a day,0 hours,2,7-Jun
2023/10/28 12:51:28 PM EST,Management Information Systems,3.5-4.0,3-5 times a week,Once a day,More than once a day,10-20 minutes,4,8-Jul
2023/10/28 12:52:22 PM EST,Architecture,3.0-3.5,3-5 times a week,Once a day,Once a day,0-10 minutes,4,7-Jun
2023/10/28 12:52:43 PM EST,Technology Management/ITSV,3.0-3.5,Once a month,More than once a day,More than once a day,10-20 minutes,4,6-May
2023/10/28 12:55:06 PM EST,Forensic Science,3.5-4.0,1-2 times a week,Once a day,More than once a day,0-10 minutes,4,8-Jul
2023/10/28 12:59:52 PM EST,ITS,3.0-3.5,3-5 times a week,Once a day,More than once a day,10-20 minutes,3,8-Jul
2023/10/28 1:03:57 PM EST,Computer Engineering,3.5-4.0,3-5 times a week,Once a day,More than once a day,0-10 minutes,5,8-Jul
2023/10/28 1:04:50 PM EST,Management Information Systems,3.0-3.5,A few times a month,Once every 2 days,Once a day,20-30 minutes,3,7-Jun
2023/10/28 1:05:42 PM EST,Computer Science,3.0-3.5,3-5 times a week,Once a day,More than once a day,0-10 minutes,3,7-Jun
2023/10/28 1:06:12 PM EST,Mathematics,3.0-3.5,1-2 times a week,Once every 2 days,More than once a day,0-10 minutes,3,5-Apr
2023/10/28 1:06:37 PM EST,Mathematics,3.5-4.0,Not at all,,More than once a day,0-10 minutes,4,8-Jul
